Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income,Per_Capita_Income,Age_Group,Experience_Group,Is_Anomaly
56,Master's,Technology,5,Urban,21,Married,Full-time,7,Own,Apartment,Male,Public transit,72510,10358.57143,50–59,16+ yrs,No
69,High School,Finance,0,Urban,4,Single,Full-time,7,Own,Apartment,Male,Biking,75462,10780.28571,60–70,0–5 yrs,No
46,Bachelor's,Technology,1,Urban,1,Single,Full-time,7,Own,Single-family home,Female,Car,71748,10249.71429,40–49,0–5 yrs,No
32,High School,Others,2,Urban,32,Married,Full-time,1,Own,Apartment,Female,Car,74520,74520,30–39,16+ yrs,Yes
60,Bachelor's,Finance,3,Urban,15,Married,Self-employed,4,Own,Townhouse,Male,Walking,640210,160052.5,60–70,11–15 yrs,No
25,High School,Others,1,Rural,6,Single,Part-time,1,Rent,Townhouse,Female,Car,73406,73406,18–29,6–10 yrs,No
38,Master's,Technology,3,Rural,20,Married,Full-time,4,Rent,Single-family home,Male,Public transit,3584362,896090.5,30–39,16+ yrs,No
56,Master's,Education,1,Suburban,34,Married,Part-time,7,Own,Townhouse,Female,Public transit,70066,10009.42857,50–59,16+ yrs,No
36,Master's,Finance,4,Suburban,45,Married,Full-time,2,Own,Apartment,Female,Public transit,69636,34818,30–39,16+ yrs,Yes
40,Bachelor's,Education,4,Urban,21,Married,Full-time,6,Own,Apartment,Female,Biking,5188124,864687.3333,40–49,16+ yrs,No
28,Bachelor's,Healthcare,4,Urban,50,Married,Full-time,5,Rent,Townhouse,Female,Car,68944,13788.8,18–29,16+ yrs,Yes
28,Master's,Healthcare,2,Urban,47,Married,Full-time,2,Own,Single-family home,Female,Car,66796,33398,18–29,16+ yrs,Yes
41,Bachelor's,Technology,4,Rural,21,Married,Full-time,2,Own,Single-family home,Female,Car,9892000,4946000,40–49,16+ yrs,Yes
70,High School,Technology,2,Suburban,5,Married,Part-time,4,Own,Apartment,Male,Public transit,35349,8837.25,60–70,0–5 yrs,No
53,Master's,Technology,0,Suburban,32,Married,Full-time,3,Rent,Single-family home,Female,Public transit,73964,24654.66667,50–59,16+ yrs,No
57,Bachelor's,Healthcare,4,Rural,38,Married,Self-employed,6,Rent,Apartment,Male,Car,756798,126133,50–59,16+ yrs,No
41,High School,Technology,2,Urban,42,Married,Full-time,7,Rent,Apartment,Male,Car,1011213,144459,40–49,16+ yrs,Yes
20,High School,Healthcare,1,Urban,24,Married,Part-time,3,Own,Single-family home,Female,Car,66298,22099.33333,18–29,16+ yrs,Yes
39,High School,Technology,2,Rural,17,Single,Self-employed,3,Own,Apartment,Female,Public transit,3856805,1285601.667,30–39,16+ yrs,No
70,Bachelor's,Education,5,Urban,40,Married,Full-time,3,Own,Single-family home,Female,Public transit,70496,23498.66667,60–70,16+ yrs,Yes
19,High School,Finance,2,Urban,34,Married,Part-time,6,Rent,Apartment,Male,Biking,233049,38841.5,18–29,16+ yrs,Yes
41,High School,Finance,5,Urban,23,Married,Part-time,5,Own,Single-family home,Female,Car,66856,13371.2,40–49,16+ yrs,No
61,High School,Finance,1,Urban,39,Married,Full-time,2,Own,Townhouse,Male,Biking,3270292,1635146,60–70,16+ yrs,No
